% ESTAÇÃO A - JANEIRO DE 2008
% Dados hidrográficos-Quadratura # 16/01/08
% Serie com 26 perfis # início 05:30 h até 18:00 h
%    Prof. (m)        Temp             Sal            Dens
 -2.5000000e+000  2.8332000e+001  3.4987000e+001  1.0222782e+003
 -3.0000000e+000  2.8332000e+001  3.4998000e+001  1.0222864e+003
 -3.5000000e+000  2.8336000e+001  3.5001000e+001  1.0222874e+003
 -4.0000000e+000  2.8331000e+001  3.5021000e+001  1.0223041e+003
 -4.5000000e+000  2.8321000e+001  3.5033000e+001  1.0223164e+003
 -5.0000000e+000  2.8303000e+001  3.5048000e+001  1.0223336e+003
 -5.5000000e+000  2.8292000e+001  3.5056000e+001  1.0223432e+003
 -6.0000000e+000  2.8285000e+001  3.5060000e+001  1.0223485e+003
 -6.5000000e+000  2.8282000e+001  3.5062000e+001  1.0223510e+003
 -7.0000000e+000  2.8275000e+001  3.5063000e+001  1.0223541e+003
 -7.5000000e+000  2.8275000e+001  3.5063000e+001  1.0223541e+003
 -8.0000000e+000  2.8275000e+001  3.5064000e+001  1.0223548e+003
 -8.5000000e+000  2.8277000e+001  3.5064000e+001  1.0223542e+003
 -9.0000000e+000  2.8277000e+001  3.5064000e+001  1.0223542e+003
 -9.5000000e+000  2.8276000e+001  3.5067000e+001  1.0223567e+003
 -1.0000000e+001  2.8276000e+001  3.5066000e+001  1.0223560e+003
 -1.0500000e+001  2.8275000e+001  3.5066000e+001  1.0223563e+003
 -1.1000000e+001  2.8276000e+001  3.5066000e+001  1.0223560e+003
 -1.1500000e+001  2.8274000e+001  3.5067000e+001  1.0223574e+003
 -1.2000000e+001  2.8274000e+001  3.5066000e+001  1.0223566e+003
 -1.2250000e+001  2.8274000e+001  3.5066000e+001  1.0223578e+003
  0.0000000e+000  2.8240000e+001  3.4800000e+001  1.0222150e+003
 -5.0000000e-001  2.8236000e+001  3.4878000e+001  1.0222278e+003
 -1.0000000e+000  2.8239000e+001  3.4906000e+001  1.0222479e+003
 -1.5000000e+000  2.8281000e+001  3.4969000e+001  1.0222814e+003
 -2.0000000e+000  2.8285000e+001  3.5022000e+001  1.0223200e+003
 -2.5000000e+000  2.8256000e+001  3.5162000e+001  1.0224347e+003
 -3.0000000e+000  2.8247000e+001  3.5186000e+001  1.0224557e+003
