% Início da serie dia 22/08às 08:00 horas
% Caravelas - Estação A - Quadratura 
  1.0000000e+001 -3.0000000e-001  2.4742303e+001  3.5011932e+001  1.0234463e+003 -1.4076384e-001 -6.8238724e-002
  1.0000000e+001 -4.0000000e-001  2.4927225e+001  3.5938691e+001  1.0240963e+003 -9.8145878e-002 -6.6443560e-002
  1.0000000e+001 -5.0000000e-001  2.5030858e+001  3.6207214e+001  1.0242731e+003 -1.2436859e-001 -5.1903133e-002
  1.0000000e+001 -6.0000000e-001  2.5030256e+001  3.6279048e+001  1.0243330e+003 -1.5362647e-001 -6.0678305e-003
  1.0000000e+001 -7.0000000e-001  2.5010879e+001  3.6308021e+001  1.0243662e+003 -1.7900479e-001 -5.8176422e-003
  1.0000000e+001 -8.0000000e-001  2.4980390e+001  3.6358761e+001  1.0244193e+003 -1.9383225e-001  5.4417951e-002
  1.0000000e+001 -9.0000000e-001  2.4979150e+001  3.6409513e+001  1.0244634e+003 -2.0022165e-001  6.9012556e-002
  1.0000000e+001 -1.0000000e+000  2.4990000e+001  3.6420000e+001  1.0244734e+003  0.0000000e+000  0.0000000e+000
  1.0500000e+001  0.0000000e+000  2.4400000e+001  3.4870000e+001  1.0234257e+003 -5.9990862e-002  1.0471444e-003
  1.0500000e+001 -1.0000000e-001  2.4676196e+001  3.4684184e+001  1.0232077e+003 -6.2096556e-002  2.4672716e-002
  1.0500000e+001 -2.0000000e-001  2.4679424e+001  3.4832906e+001  1.0233246e+003 -1.0655407e-001 -2.0753297e-002
  1.0500000e+001 -3.0000000e-001  2.4774160e+001  3.5519299e+001  1.0238204e+003 -1.3380841e-001 -3.1018246e-002
  1.0500000e+001 -4.0000000e-001  2.4943715e+001  3.6068056e+001  1.0241894e+003 -1.4877486e-001 -2.1389134e-002
  1.0500000e+001 -5.0000000e-001  2.4979192e+001  3.6236516e+001  1.0243113e+003 -1.6439982e-001 -2.2596388e-002
  1.0500000e+001 -6.0000000e-001  2.4918441e+001  3.6298365e+001  1.0243821e+003 -2.3058454e-001 -1.9567616e-002
  1.0500000e+001 -7.0000000e-001  2.4909232e+001  3.6431109e+001  1.0244907e+003 -2.1467388e-001 -7.9351423e-003
  1.0500000e+001 -8.0000000e-001  2.4930891e+001  3.6471305e+001  1.0245199e+003 -2.1550558e-001  1.0584345e-002
