%Estação A - Caravelas
%Agosto 28/08/2007
%Sizígia   
% prof h(t)=12,65 m
%      z(m)           u(m/s)        
 0.0000000e+000  1.1300000e+000
 1.2600000e+000  1.1297247e+000
 2.5300000e+000  1.1317367e+000
 3.8000000e+000  1.0992783e+000
 5.0600000e+000  1.0749654e+000
 6.3200000e+000  1.0541472e+000
 7.5900000e+000  9.9929085e-001
 8.8600000e+000  9.2484311e-001
 10.120000e+000  8.1629061e-001
 11.380000e+000  6.2426818e-001
 12.650000e+000  0.0000000e+000
